database_name;schema_name;routine_name;type_desc;create_date;modify_date
COGE;dbo;SUMCRSS;SQL_STORED_PROCEDURE;2004-10-12 09:14:21.483;2011-12-06 08:32:57.707
COGE;dbo;SUMIVAP;SQL_STORED_PROCEDURE;2019-02-15 04:00:41.370;2019-02-15 10:49:34.373
COGE;dbo;SUMIVAS;SQL_STORED_PROCEDURE;2004-10-12 09:14:21.560;2011-12-06 08:32:57.707
COGE;dbo;ToGDS;SQL_STORED_PROCEDURE;2009-06-25 16:05:26.077;2011-12-06 08:32:57.647
COGE;dbo;WWVENTILA;SQL_STORED_PROCEDURE;2010-02-15 15:45:20.497;2011-12-06 08:32:57.690
COGE;dbo;X_FATTXML_DTE;SQL_STORED_PROCEDURE;2018-03-09 02:52:28.170;2018-03-09 02:52:28.170
COGE;dbo;X_FATTXML_DTE_EST;SQL_STORED_PROCEDURE;2019-04-11 10:30:46.240;2021-03-22 08:44:10.513
COGE;dbo;X_FATTXML_DTR;SQL_STORED_PROCEDURE;2018-10-23 08:55:16.643;2019-01-30 08:50:44.873
COGE;dbo;X_FATTXML_DTR_EST;SQL_STORED_PROCEDURE;2019-04-11 10:30:46.283;2021-03-22 08:44:10.570
COGE;dbo;X_GeneraPoE;SQL_STORED_PROCEDURE;2017-09-15 06:01:01.793;2017-09-15 06:01:01.793
COGE;dbo;X_LEGGI_REGXML;SQL_STORED_PROCEDURE;2018-07-20 12:27:21.747;2018-07-20 12:27:21.747
COGE;dbo;X_LEGGI_REGXML_EST;SQL_STORED_PROCEDURE;2019-04-11 10:30:46.027;2019-04-11 10:30:46.027
COGE;dbo;XArtPSucc;SQL_STORED_PROCEDURE;2004-05-25 17:12:57.530;2011-12-06 08:32:57.687
COGE;dbo;XAZZGIO;SQL_STORED_PROCEDURE;2004-09-08 14:49:12.310;2011-12-06 08:32:57.740
COGE;dbo;XAZZIVA;SQL_STORED_PROCEDURE;2019-02-15 04:00:41.390;2019-02-15 10:49:34.380
COGE;dbo;XAZZIVA2018;SQL_STORED_PROCEDURE;2019-02-27 04:00:36.260;2019-02-27 04:00:36.260
COGE;dbo;XBILCEE;SQL_STORED_PROCEDURE;2018-09-06 11:05:00.500;2018-09-07 15:26:34.603
COGE;dbo;XBILCEE2ANNI;SQL_STORED_PROCEDURE;2018-09-06 11:05:00.577;2018-09-07 15:26:11.683
COGE;dbo;XBILSEZ;SQL_STORED_PROCEDURE;2017-01-27 05:02:23.030;2023-03-31 08:41:39.143
COGE;dbo;XCALCOLASCAPIANO;SQL_STORED_PROCEDURE;2023-10-18 09:50:35.690;2023-10-18 10:55:00.440
COGE;dbo;XCesp;SQL_STORED_PROCEDURE;2006-02-27 12:11:23.467;2014-06-25 06:02:39.207
COGE;dbo;XCESPITIANNO;SQL_STORED_PROCEDURE;2018-09-27 15:19:12.520;2018-09-27 15:19:12.520
COGE;dbo;XCOMIVA;SQL_STORED_PROCEDURE;2022-01-18 17:06:58.823;2022-01-18 17:06:58.823
COGE;dbo;XControlloPI;SQL_STORED_PROCEDURE;2020-06-30 09:13:27.820;2020-06-30 09:13:27.820
COGE;dbo;XCREASCADENZE;SQL_STORED_PROCEDURE;2021-06-21 17:23:08.840;2021-06-21 17:23:08.840
COGE;dbo;XCREASCPIANORIENTRO;SQL_STORED_PROCEDURE;2023-10-03 11:35:35.470;2023-10-09 14:05:49.290
COGE;dbo;XDettIva;SQL_STORED_PROCEDURE;2008-05-15 17:53:10.047;2012-04-13 09:02:49.920
COGE;dbo;XDETTQUO;SQL_STORED_PROCEDURE;2004-09-08 14:49:12.513;2011-12-06 08:32:57.743
COGE;dbo;XDIFFERENZE;SQL_STORED_PROCEDURE;2007-10-29 11:02:55.890;2011-12-06 08:32:57.630
